state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
Maine,1980,31687.4375,29249.9375,2437.5,8.375
Maine,1981,31812.8125,29500.1875,2312.625,7.71875
Maine,1982,32249.9375,29499.875,2750.0625,9.21875
Maine,1983,33499.9375,30500,2999.9375,9.71875
Maine,1984,34500.0625,32375.0625,2125,6.9
Maine,1985,34500,32624.9375,1875.0625,6.36875
Maine,1986,35062.4375,33187.4375,1875,6.35
Maine,1987,36687.4375,35062.5625,1624.875,5.2375
Maine,1988,37312.5625,35937.4375,1375.125,4.5125
Maine,1989,38437.6875,36875.0625,1562.625,4.88125
Maryland,1976,79375.08333333333,74041.70833333333,5333.375,8.941666666666666
Maryland,1977,81791.625,76833.29166666667,4958.333333333333,8.120833333333334
Maryland,1978,85624.95833333333,80833.33333333333,4791.625,7.041666666666667
Maryland,1979,88166.91666666667,82958.45833333333,5208.458333333333,7.654166666666667
Maryland,1980,89750.08333333333,83916.75,5833.333333333333,8.633333333333333
Maryland,1981,90083.5,83541.83333333333,6541.666666666667,9.616666666666667
Maryland,1982,90166.70833333333,82541.79166666667,7624.916666666667,10.5875
Maryland,1983,92125.08333333333,85749.95833333333,6375.125,9.054166666666667
Maryland,1984,93500.16666666667,88458.45833333333,5041.708333333333,6.8375
Maryland,1985,93874.91666666667,89583.25,4291.666666666667,5.558333333333334
Maryland,1986,97999.83333333333,93624.95833333333,4374.875,5.429166666666667
Maryland,1987,100208.33333333333,95958.29166666667,4250.041666666667,5.175
Maryland,1988,102125.125,97583.375,4541.75,5.35
Maryland,1989,105125.04166666667,101250,3875.0416666666665,4.4375
Massachusetts,1976,195202.7142857143,176631.14285714287,18571.571428571428,9.335714285714285
Massachusetts,1977,197098.57142857142,181125.2142857143,15973.357142857143,8.285714285714286
Massachusetts,1978,201523.85714285713,189262.5,12261.357142857143,6.357142857142857
Massachusetts,1979,205491.07142857142,194104.07142857142,11387,5.857142857142857
Massachusetts,1980,205232.85714285713,193698.2142857143,11534.642857142857,5.835714285714285
Massachusetts,1981,210937.35714285713,197538.7857142857,13398.57142857143,6.514285714285714
Massachusetts,1982,214286.2857142857,197338.7857142857,16947.5,7.878571428571428
Massachusetts,1983,213281.7142857143,198615.42857142858,14666.285714285714,7.007142857142857
Massachusetts,1984,217950.92857142858,207562.5,10388.42857142857,4.935714285714286
Massachusetts,1985,218660,210033.5,8626.5,4.057142857142857
