GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17020","Chico, CA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",7873270,7718882,7976544,7824894,7794092,8130959,8417718,9200038,9600568,9385272,9160157,9404643,10161494,10370865,9441817
 "17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",98731249,96159430,99820295,105666481,107555476,107211911,111653018,118126490,118645212,121373873,123255388,127095387,135681256,140747220,136586245
 "17300","Clarksville, TN-KY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11598692,11942418,12231206,12637921,12659872,12249327,12245227,12622112,12515151,12961201,13708702,14073113,15484914,16102053,15140903
 "17420","Cleveland, TN (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4514040,4493583,4545187,4727213,4761101,4680100,4789398,5037656,5046111,5300925,5278570,5480234,5909503,6088937,5751169
 "17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",103153436,94984459,96721406,99630882,101757030,100006653,103187622,107041791,108466676,110620647,113347985,115953136,121729179,125354292,120487080
 "17660","Coeur d'Alene, ID (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5075040,5149311,5328908,5462522,5638173,5725737,6040118,6416329,6604519,6953009,7632084,8560010,9256846,10197046,10234662
 "17780","College Station-Bryan, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",7747661,7943757,8237559,8406665,8672216,9046716,9545914,9797159,9753833,10422529,11031362,11357319,12062815,12576075,12571033
 "17820","Colorado Springs, CO (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",26974551,26475339,27854553,28076713,28594009,28746153,30072335,31942806,32868821,33115048,35743383,36635587,40196901,43440585,41799935
 "17860","Columbia, MO (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",8044813,8410062,8308991,8622552,8774809,9018463,9121391,9643073,9813174,10048857,10011504,10426774,11105345,11727550,11507398
 "17900","Columbia, SC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",31853802,31920294,31464831,31668742,32580730,32734094,34119197,35973611,36654934,38157187,38991218,41035280,43873704,44444570,42695151
 "17980","Columbus, GA-AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",12516309,12522342,12438801,12951900,13172647,12821438,12835337,13368259,13546409,13805987,14165718,14446370,15664436,15807554,14622433
 "18020","Columbus, IN (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",3890297,3616683,3559628,3844063,4027325,4018793,4101379,4433028,4460196,4605291,4524194,4604401,4815335,4972802,4954345
 "18140","Columbus, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",83591351,83345185,85060933,91339159,94225579,94799532,97976808,103788116,105796210,109715674,110057805,112222982,121596328,126294188,121605966
 "18580","Corpus Christi, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",17127145,16912991,17231748,18345706,18743893,18979877,19676858,19423887,18135182,18783149,19413277,20048459,20732173,22059157,21368428
 "18700","Corvallis, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",3474197,3323408,3492278,3629918,3569971,3493100,3582361,3737599,3904684,3999840,4004255,4168854,4452077,4750137,4399476
 "18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10995751,10889230,11125363,11144970,11653051,11701501,12092326,12754140,13346338,14230277,14904480,16061141,17143106,18504524,17932788
 "19060","Cumberland, MD-WV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",3725653,3883665,3959361,3923733,3824833,3872596,3831332,4004649,4098891,4197589,4297359,4364893,4697158,4582045,4400882
 "19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",300361456,280565047,290878316,319956718,328482238,332614107,355325764,371632953,384786419,398525113,413184850,420331315,433359681,467058473,467268720
 "19140","Dalton, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4729826,4710890,4560172,4699071,4712078,4886303,5095687,5469677,5610458,5771410,5739750,5965583,6529743,6186343,5902521
 "19180","Danville, IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",3489332,3386879,3308704,3431486,3314057,3418724,3295309,3368621,3406918,3440044,3283936,3323793,3627441,3753190,3494922
 "19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",7512775,7562205,7725186,8229196,8092526,8370559,8719836,9376005,9723644,10054692,10898702,11139598,12618281,13373703,13264264
 "19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",17847636,17779773,17881952,18944607,18718352,18672517,18672279,19176131,19472957,19758820,19659590,19627602,20777873,21565846,20903640
 "19430","Dayton-Kettering, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",33807509,33746283,34130265,35660140,35815869,35469531,36411369,38053503,38479768,39944993,40201614,41223430,44416450,45278234,43371689
 "19460","Decatur, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5953807,6189696,6018245,5865598,6041054,5908523,6297206,6172702,6197204,6313890,6583275,7062518,7150377,7589728,7053713
 "19500","Decatur, IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5277393,5246447,5353731,5385238,5187749,5419186,5426433,5427954,5364388,5535522,5429804,5357732,5798357,5963522,5704552
 "19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",22780658,22043963,22888929,22581392,23048303,23026787,23827281,24950887,26132647,27419423,28798752,31190816,32692469,34554389,33809746
