GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,SARPP,2,"..."," RPPs: Goods ","Index",103.690,104.485,100.171,102.163,104.326,104.804,102.029,103.880,103.586,101.818,106.961,105.394,105.560,101.824,104.702
 "35000","New Mexico",6,SARPP,2,"..."," RPPs: Goods ","Index",97.716,100.602,97.750,98.690,99.135,97.575,97.153,98.505,98.000,100.797,96.168,99.232,96.982,96.817,97.555
 "36000","New York",2,SARPP,2,"..."," RPPs: Goods ","Index",112.059,109.507,108.266,107.954,108.627,107.420,107.786,108.195,108.032,108.340,106.866,105.172,105.744,101.752,104.335
 "37000","North Carolina",5,SARPP,2,"..."," RPPs: Goods ","Index",96.613,94.280,96.809,96.273,95.484,95.927,95.598,94.818,95.725,95.650,95.770,95.730,95.456,96.316,95.823
 "38000","North Dakota",4,SARPP,2,"..."," RPPs: Goods ","Index",84.977,90.033,94.939,94.953,95.707,95.673,97.476,97.461,96.182,94.721,94.052,96.606,96.456,94.330,94.182
 "39000","Ohio",3,SARPP,2,"..."," RPPs: Goods ","Index",92.251,93.961,94.481,94.775,96.273,96.990,97.281,96.734,96.219,95.309,97.221,95.796,93.828,94.357,92.168
 "40000","Oklahoma",6,SARPP,2,"..."," RPPs: Goods ","Index",96.747,94.176,96.871,96.203,95.158,95.916,95.844,94.795,95.598,95.471,93.369,94.982,94.508,95.782,93.480
 "41000","Oregon",8,SARPP,2,"..."," RPPs: Goods ","Index",95.310,101.602,99.761,99.885,100.364,98.518,99.139,99.279,100.447,100.258,104.531,104.425,104.359,106.324,109.029
 "42000","Pennsylvania",2,SARPP,2,"..."," RPPs: Goods ","Index",101.806,101.735,99.931,100.436,99.760,98.303,98.438,100.579,100.425,100.011,99.817,97.182,97.317,95.402,97.025
 "44000","Rhode Island",1,SARPP,2,"..."," RPPs: Goods ","Index",100.296,100.915,97.788,98.039,97.673,97.471,97.362,98.776,98.559,99.376,100.764,98.970,98.070,98.092,101.122
 "45000","South Carolina",5,SARPP,2,"..."," RPPs: Goods ","Index",96.678,94.135,96.620,95.983,95.212,95.903,96.045,94.989,95.780,95.580,95.390,95.714,95.447,96.149,94.630
 "46000","South Dakota",4,SARPP,2,"..."," RPPs: Goods ","Index",84.320,89.518,94.677,94.741,96.019,95.870,97.326,97.134,95.974,94.713,95.801,97.820,96.709,93.902,94.002
 "47000","Tennessee",5,SARPP,2,"..."," RPPs: Goods ","Index",96.484,94.007,96.658,96.036,95.226,95.995,95.977,94.910,95.800,95.562,92.353,94.569,94.297,93.902,94.401
 "48000","Texas",6,SARPP,2,"..."," RPPs: Goods ","Index",97.116,96.060,97.992,96.429,97.517,97.472,97.244,96.965,98.290,97.042,97.015,97.807,98.207,98.452,97.124
 "49000","Utah",7,SARPP,2,"..."," RPPs: Goods ","Index",96.858,101.027,98.794,100.003,99.573,97.686,96.789,97.299,95.505,99.187,97.052,98.998,94.811,96.450,94.705
 "50000","Vermont",1,SARPP,2,"..."," RPPs: Goods ","Index",100.668,101.222,98.476,98.506,99.123,98.335,98.115,99.067,98.800,99.597,100.697,98.791,98.667,98.274,100.566
